url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level
https://www.immowelt.de/expose/29fc75t,Gas,Fußbodenheizung,2.346.000 €,"234,64 m²",6,prov,10439,2012,sonetteWohnungslage1
https://www.immowelt.de/expose/29any5s,Fernwärme,Zentralheizung,410.000 €,63 m²,2,3.57,10117,1998,2
https://www.immowelt.de/expose/296kf5m,Gas,Zentralheizung,815.000 €,104 m²,3,prov,10439,1910,rtmentWohnungslage2
https://www.immowelt.de/expose/29dsl5s,Gas,Etagenheizung,840.000 €,143 m²,"4,5",prov,10823,1900,ErdgeschossBezugsofort
https://www.immowelt.de/expose/29k4k5s,na,na,369.000 €,52 m²,2,3.57,10243,na,na
https://www.immowelt.de/expose/296fa5d,Fernwärme,Fußbodenheizung,575.000 €,"84,50 m²",3,prov,13088,2016,3
https://www.immowelt.de/expose/29zzv5t,Gas,Zentralheizung,199.900 €,"62,83 m²",2,prov,14165,1962,ErdgeschossBezugsofort
https://www.immowelt.de/expose/29n485s,Gas,Fußbodenheizung,295.000 €,"38,47 m²","1,5",prov,10777,1910,ErdgeschossBezugsofort
https://www.immowelt.de/expose/29y6r5r,Gas,"Kamin, ",auf Anfrage,65 m²,2,prov,12159,1900,rtmentWohnungslageErdgeschossBezugsofort
https://www.immowelt.de/expose/29jqd5t,Gas,Etagenheizung,880.000 €,123 m²,4,3.57,12161,1905,reinbarung
https://www.immowelt.de/expose/29rqz5r,Öl,Zentralheizung,219.000 €,60 m²,2,prov,13409,1968,1
https://www.immowelt.de/expose/274k95c,Fernwärme,Fußbodenheizung,1.880.000 €,172 m²,3,3.57,14057,1900,thouseWohnungslage5
https://www.immowelt.de/expose/296ha5r,na,na,198.000 €,53 m²,2,3.57,13403,Garage,na
https://www.immowelt.de/expose/29tda5r,na,na,1.024.000 €,105 m²,4,3.57,10585,na,utzungfrei
https://www.immowelt.de/expose/29rts5d,Gas,Zentralheizung,450.000 €,"80,39 m²",3,prov,12209,1992,1
https://www.immowelt.de/expose/29z685r,na,na,699.000 €,96 m²,5,prov,14163,1984,utzungvermietet
https://www.immowelt.de/expose/29aw65r,"Fernwärme, ",Heizungsart,980.000 €,"133,40 m²",4,prov,12159,2023,4
https://www.immowelt.de/expose/29huv5q,Gas,Zentralheizung,234.800 €,39 m²,1,Prov,10715,1898,rtmentWohnungslage4
https://www.immowelt.de/expose/29rsv5q,na,na,349.990 €,"77,86 m²",2,Prov,13088,1912,rtmentWohnungslage1
https://www.immowelt.de/expose/2945v5q,Gas,Zentralheizung,239.990 €,"41,99 m²",1,Prov,10715,1898,rtmentWohnungslage4
